"no_of_dependents","education","self_employed","income_annum","loan_amount","loan_term","cibil_score","residential_assets_value","commercial_assets_value","luxury_assets_value","bank_asset_value","loan_status"
5.0,"0","0",6700000.0,2.45E7,12.0,818.0,1200000.0,5600000.0,1.63E7,6200000.0,"1"
2.0,"0","0",4300000.0,1.06E7,18.0,431.0,2100000.0,1500000.0,9300000.0,5200000.0,"0"
5.0,"1","1",9300000.0,3.05E7,18.0,841.0,1.93E7,1.03E7,3.46E7,8700000.0,"1"
1.0,"1","0",7400000.0,1.84E7,20.0,421.0,1.85E7,9100000.0,1.75E7,4100000.0,"0"
4.0,"0","1",5500000.0,1.82E7,16.0,797.0,-100000.0,4900000.0,1.86E7,4800000.0,"1"
2.0,"0","0",8500000.0,1.89E7,18.0,478.0,2.38E7,1.63E7,2.59E7,1.14E7,"0"
3.0,"0","1",9600000.0,3.05E7,18.0,669.0,4700000.0,1900000.0,2.65E7,9300000.0,"1"
5.0,"0","1",8800000.0,2.89E7,6.0,365.0,2.44E7,8600000.0,2.74E7,4700000.0,"0"
3.0,"0","1",3300000.0,7500000.0,20.0,586.0,1600000.0,5600000.0,1.05E7,2900000.0,"1"
4.0,"1","1",3900000.0,1.23E7,18.0,784.0,7600000.0,6900000.0,1.31E7,2800000.0,"1"
1.0,"1","0",4100000.0,1.03E7,12.0,364.0,9500000.0,6100000.0,1.49E7,2800000.0,"0"
3.0,"0","0",8300000.0,2.91E7,10.0,715.0,6100000.0,1.19E7,2.41E7,1.19E7,"1"
0.0,"0","1",2700000.0,1.01E7,20.0,693.0,200000.0,1700000.0,5900000.0,1400000.0,"0"
4.0,"1","0",5600000.0,1.24E7,4.0,777.0,5500000.0,3100000.0,1.18E7,5500000.0,"1"
0.0,"1","0",1900000.0,5000000.0,12.0,312.0,4000000.0,2800000.0,4900000.0,2400000.0,"0"
4.0,"0","1",500000.0,1500000.0,20.0,340.0,100000.0,200000.0,1900000.0,600000.0,"0"
5.0,"1","1",5300000.0,1.86E7,4.0,386.0,2700000.0,9700000.0,1.19E7,4200000.0,"1"
5.0,"0","0",7000000.0,1.83E7,4.0,418.0,1.84E7,1.17E7,2.15E7,7600000.0,"0"
3.0,"0","1",5800000.0,1.67E7,16.0,735.0,3900000.0,9400000.0,1.26E7,5600000.0,"1"
2.0,"0","0",2600000.0,8400000.0,6.0,494.0,6500000.0,3800000.0,5600000.0,2000000.0,"0"
2.0,"0","0",1900000.0,6500000.0,18.0,671.0,600000.0,2500000.0,4800000.0,1100000.0,"1"
4.0,"1","0",5700000.0,1.48E7,16.0,697.0,1.43E7,7800000.0,1.29E7,6300000.0,"1"
0.0,"1","0",9000000.0,3.35E7,8.0,801.0,1.16E7,8900000.0,3.54E7,1.11E7,"1"
2.0,"0","0",8500000.0,2.94E7,12.0,576.0,1.76E7,5600000.0,2.52E7,9000000.0,"1"
0.0,"0","0",700000.0,1400000.0,14.0,639.0,1900000.0,700000.0,2400000.0,900000.0,"1"
4.0,"1","0",3500000.0,8900000.0,4.0,470.0,1300000.0,2200000.0,1.23E7,2000000.0,"0"
0.0,"0","0",8800000.0,3.12E7,4.0,826.0,2900000.0,500000.0,3.33E7,8600000.0,"1"
2.0,"0","1",9900000.0,2.12E7,16.0,363.0,2.55E7,1.14E7,2.66E7,6800000.0,"0"
3.0,"1","0",3600000.0,8600000.0,20.0,613.0,9400000.0,300000.0,1.03E7,3300000.0,"1"
3.0,"0","1",3000000.0,8200000.0,16.0,713.0,5300000.0,5800000.0,1.1E7,3400000.0,"1"
2.0,"1","0",6800000.0,2.12E7,16.0,439.0,1.71E7,4700000.0,2.33E7,3600000.0,"0"
5.0,"0","1",1100000.0,3800000.0,18.0,387.0,1300000.0,1200000.0,3800000.0,1600000.0,"0"
1.0,"0","1",8700000.0,2.83E7,8.0,402.0,2.04E7,1.36E7,2.79E7,1.02E7,"0"
4.0,"1","1",2000000.0,8000000.0,6.0,837.0,5100000.0,2600000.0,3900000.0,2900000.0,"1"
2.0,"0","0",9800000.0,3.76E7,10.0,641.0,2.41E7,0.0,2.34E7,7600000.0,"1"
4.0,"1","0",5700000.0,2.11E7,18.0,489.0,500000.0,4300000.0,1.25E7,6000000.0,"0"
4.0,"1","0",8800000.0,2.07E7,18.0,540.0,1.92E7,3200000.0,2.24E7,1.27E7,"0"
4.0,"1","0",3800000.0,8900000.0,4.0,844.0,9100000.0,3500000.0,1.31E7,4700000.0,"1"
1.0,"1","0",1700000.0,6400000.0,10.0,452.0,900000.0,1100000.0,5600000.0,2100000.0,"0"
2.0,"1","0",1000000.0,2000000.0,10.0,366.0,1200000.0,400000.0,3200000.0,1300000.0,"0"
5.0,"1","0",300000.0,1100000.0,2.0,300.0,100000.0,500000.0,700000.0,400000.0,"1"
2.0,"1","1",6600000.0,1.5E7,18.0,470.0,1200000.0,4800000.0,1.82E7,7000000.0,"0"
2.0,"0","0",8700000.0,2.5E7,20.0,861.0,1.47E7,8500000.0,2.32E7,7300000.0,"1"
4.0,"1","0",9400000.0,2.94E7,12.0,562.0,2.59E7,1.52E7,3.64E7,7100000.0,"1"
0.0,"1","0",4400000.0,1.08E7,14.0,463.0,2400000.0,4800000.0,1.38E7,4700000.0,"0"
4.0,"0","0",400000.0,900000.0,12.0,478.0,700000.0,100000.0,1200000.0,100000.0,"0"
2.0,"0","1",300000.0,1100000.0,2.0,702.0,300000.0,200000.0,500000.0,200000.0,"1"
2.0,"0","1",4300000.0,1.29E7,20.0,618.0,1.14E7,3600000.0,1.14E7,2400000.0,"1"
4.0,"1","0",1600000.0,4500000.0,12.0,633.0,700000.0,1700000.0,4100000.0,1900000.0,"1"
5.0,"0","1",6200000.0,2.36E7,10.0,331.0,1.85E7,1.03E7,2.38E7,8700000.0,"0"
3.0,"0","1",4200000.0,9700000.0,16.0,841.0,7800000.0,300000.0,1.67E7,5100000.0,"1"
4.0,"0","1",9000000.0,1.81E7,12.0,764.0,600000.0,1.65E7,2.08E7,1.16E7,"1"
0.0,"1","0",2700000.0,1.06E7,6.0,591.0,1300000.0,2700000.0,9900000.0,1800000.0,"1"
1.0,"1","1",9700000.0,3.59E7,2.0,719.0,1.96E7,7600000.0,2.04E7,1.09E7,"1"
2.0,"1","0",3300000.0,6800000.0,14.0,317.0,3400000.0,300000.0,1.17E7,3600000.0,"0"
0.0,"0","0",300000.0,1100000.0,8.0,778.0,800000.0,200000.0,900000.0,100000.0,"1"
3.0,"1","1",7400000.0,1.82E7,14.0,302.0,5600000.0,3100000.0,1.79E7,5000000.0,"0"
5.0,"0","0",7100000.0,1.97E7,8.0,502.0,7300000.0,5600000.0,2.53E7,9800000.0,"0"
5.0,"0","1",7300000.0,2.21E7,18.0,879.0,1.95E7,1.06E7,1.93E7,9800000.0,"1"
1.0,"0","0",8400000.0,2.34E7,14.0,437.0,1.54E7,5800000.0,3.34E7,8100000.0,"0"
0.0,"0","1",3300000.0,1.08E7,12.0,797.0,600000.0,6000000.0,7700000.0,3300000.0,"1"
4.0,"0","1",5800000.0,2.32E7,18.0,456.0,1.61E7,4200000.0,2.26E7,7500000.0,"0"
0.0,"0","0",600000.0,1600000.0,6.0,647.0,1500000.0,600000.0,1500000.0,700000.0,"1"
0.0,"0","0",7200000.0,1.58E7,12.0,379.0,1.27E7,1.22E7,2.15E7,3600000.0,"0"
1.0,"0","1",9100000.0,3.29E7,2.0,717.0,2200000.0,2000000.0,2.36E7,5900000.0,"1"
5.0,"1","0",900000.0,2300000.0,16.0,545.0,100000.0,200000.0,2700000.0,800000.0,"0"
2.0,"1","0",800000.0,3200000.0,8.0,317.0,300000.0,1000000.0,2000000.0,900000.0,"0"
1.0,"0","0",8500000.0,3.29E7,10.0,570.0,5100000.0,6200000.0,2.05E7,5500000.0,"1"
0.0,"0","1",9000000.0,1.87E7,18.0,865.0,2.68E7,0.0,2.09E7,1.13E7,"1"
3.0,"1","0",7000000.0,1.95E7,14.0,719.0,1.22E7,1.03E7,1.82E7,1.02E7,"1"
3.0,"1","0",200000.0,600000.0,16.0,821.0,400000.0,100000.0,500000.0,100000.0,"1"
4.0,"0","1",400000.0,800000.0,10.0,859.0,900000.0,500000.0,800000.0,200000.0,"1"
3.0,"0","0",5100000.0,1.82E7,10.0,395.0,100000.0,8000000.0,1.55E7,6300000.0,"0"
2.0,"0","1",700000.0,2600000.0,12.0,429.0,1600000.0,1300000.0,2700000.0,800000.0,"0"
3.0,"1","0",400000.0,1200000.0,12.0,861.0,200000.0,600000.0,1100000.0,200000.0,"1"
0.0,"0","1",9500000.0,2.08E7,14.0,565.0,1.51E7,1.19E7,3.39E7,1.34E7,"1"
5.0,"1","0",8800000.0,2.26E7,10.0,357.0,7900000.0,8600000.0,1.82E7,4900000.0,"0"
3.0,"0","1",1800000.0,3600000.0,18.0,465.0,600000.0,500000.0,5400000.0,2600000.0,"0"
4.0,"0","1",6800000.0,1.39E7,8.0,479.0,1.17E7,9100000.0,2.57E7,9600000.0,"0"
3.0,"0","0",1500000.0,5500000.0,16.0,717.0,2100000.0,800000.0,4400000.0,1300000.0,"1"
3.0,"1","0",1600000.0,5500000.0,12.0,425.0,600000.0,800000.0,5400000.0,900000.0,"0"
2.0,"0","0",4600000.0,1.67E7,2.0,786.0,200000.0,5900000.0,1.39E7,6100000.0,"1"
5.0,"0","1",2200000.0,6700000.0,6.0,382.0,4400000.0,1300000.0,8600000.0,1100000.0,"0"
3.0,"0","1",2900000.0,8500000.0,12.0,564.0,1000000.0,3100000.0,7500000.0,1800000.0,"1"
0.0,"1","0",200000.0,700000.0,8.0,501.0,500000.0,200000.0,700000.0,100000.0,"0"
2.0,"0","1",2500000.0,9400000.0,10.0,727.0,6600000.0,4100000.0,9500000.0,3300000.0,"1"
4.0,"0","0",3600000.0,7500000.0,6.0,894.0,1100000.0,6500000.0,7400000.0,2800000.0,"1"
0.0,"1","1",5500000.0,1.67E7,18.0,829.0,5500000.0,1300000.0,1.28E7,5900000.0,"1"
4.0,"0","0",6600000.0,1.74E7,20.0,506.0,2600000.0,1.0E7,2.59E7,7200000.0,"0"
2.0,"1","1",8600000.0,3.21E7,6.0,802.0,9400000.0,1.67E7,2.45E7,9800000.0,"1"
5.0,"0","0",600000.0,1500000.0,14.0,543.0,300000.0,900000.0,2100000.0,300000.0,"0"
3.0,"1","1",1400000.0,3200000.0,20.0,772.0,2400000.0,900000.0,5100000.0,1600000.0,"1"
3.0,"1","0",4000000.0,1.11E7,12.0,572.0,9700000.0,100000.0,1.25E7,2400000.0,"1"
0.0,"0","1",4900000.0,1.19E7,16.0,709.0,1.46E7,900000.0,1.85E7,3800000.0,"1"
5.0,"1","0",2000000.0,6200000.0,18.0,402.0,4000000.0,2100000.0,7200000.0,1100000.0,"0"
1.0,"0","1",5200000.0,1.93E7,8.0,481.0,1.43E7,9500000.0,1.88E7,4200000.0,"0"
5.0,"1","1",8900000.0,2.88E7,6.0,772.0,1.36E7,5500000.0,2.04E7,8400000.0,"1"
1.0,"1","1",6500000.0,2.06E7,2.0,306.0,1.59E7,1900000.0,1.81E7,3200000.0,"1"
2.0,"0","0",1300000.0,4500000.0,6.0,415.0,0.0,900000.0,2900000.0,1200000.0,"0"
3.0,"0","0",9400000.0,3.5E7,16.0,548.0,1.82E7,4400000.0,3.61E7,4800000.0,"0"
5.0,"0","0",5000000.0,1.12E7,8.0,701.0,9100000.0,500000.0,1.4E7,4600000.0,"1"
2.0,"1","0",3000000.0,7700000.0,12.0,890.0,4700000.0,4300000.0,8400000.0,2100000.0,"1"
5.0,"0","1",9900000.0,3.33E7,6.0,364.0,5300000.0,1.87E7,2.78E7,8300000.0,"0"
5.0,"1","1",700000.0,1300000.0,20.0,704.0,1600000.0,0.0,2200000.0,600000.0,"1"
3.0,"1","1",4000000.0,1.06E7,10.0,318.0,1500000.0,5100000.0,8000000.0,4900000.0,"0"
5.0,"0","0",3100000.0,9600000.0,2.0,761.0,5800000.0,1800000.0,1.04E7,4200000.0,"1"
4.0,"0","0",4500000.0,1.51E7,6.0,693.0,3700000.0,1500000.0,1.78E7,6000000.0,"1"
3.0,"0","0",9700000.0,2.06E7,16.0,524.0,2.42E7,1.11E7,2.74E7,6100000.0,"0"
2.0,"0","1",2000000.0,5300000.0,10.0,681.0,4900000.0,1400000.0,4300000.0,2900000.0,"1"
2.0,"1","1",8100000.0,2.23E7,18.0,737.0,2.23E7,1.26E7,2.7E7,7300000.0,"1"
0.0,"0","0",5700000.0,1.59E7,16.0,638.0,100000.0,9500000.0,1.63E7,4500000.0,"1"
4.0,"0","0",5800000.0,1.28E7,2.0,656.0,500000.0,5000000.0,1.6E7,2800000.0,"1"
1.0,"1","0",1800000.0,6500000.0,6.0,540.0,2500000.0,3200000.0,5000000.0,1100000.0,"0"
4.0,"0","1",9100000.0,3.52E7,6.0,341.0,1000000.0,300000.0,2.31E7,8200000.0,"0"
0.0,"0","1",4800000.0,1.75E7,2.0,371.0,1.17E7,6800000.0,1.87E7,3500000.0,"1"
3.0,"0","1",3800000.0,1.05E7,12.0,886.0,4000000.0,500000.0,1.49E7,2300000.0,"1"
0.0,"0","0",1900000.0,4100000.0,18.0,801.0,400000.0,800000.0,4800000.0,1200000.0,"1"
3.0,"0","1",3600000.0,9500000.0,16.0,748.0,7700000.0,2400000.0,9700000.0,2600000.0,"1"
2.0,"0","1",7400000.0,2.82E7,8.0,376.0,2.19E7,5000000.0,1.74E7,5200000.0,"0"
4.0,"0","1",6600000.0,1.43E7,8.0,371.0,1.08E7,9500000.0,1.85E7,7400000.0,"0"
2.0,"1","0",1800000.0,5300000.0,6.0,826.0,4500000.0,700000.0,6500000.0,1300000.0,"1"
4.0,"0","0",9200000.0,2.72E7,12.0,873.0,4500000.0,1800000.0,3.38E7,1.14E7,"1"
5.0,"0","1",2400000.0,8600000.0,8.0,309.0,500000.0,600000.0,5700000.0,2800000.0,"0"
4.0,"0","0",5600000.0,1.33E7,20.0,869.0,3300000.0,7500000.0,2.0E7,6500000.0,"1"
5.0,"1","0",3800000.0,1.39E7,12.0,534.0,4700000.0,2900000.0,8200000.0,2800000.0,"0"
3.0,"0","1",4500000.0,1.79E7,6.0,787.0,9800000.0,3600000.0,1.43E7,4200000.0,"1"
0.0,"1","1",900000.0,2200000.0,16.0,566.0,100000.0,700000.0,2000000.0,600000.0,"1"
0.0,"0","0",2800000.0,9900000.0,8.0,742.0,4900000.0,1300000.0,6700000.0,1700000.0,"1"
2.0,"0","0",7500000.0,2.31E7,4.0,824.0,1.21E7,1.09E7,2.63E7,9500000.0,"1"
4.0,"1","0",1400000.0,3100000.0,14.0,575.0,3000000.0,2100000.0,4900000.0,1400000.0,"1"
2.0,"1","1",3800000.0,1.09E7,10.0,766.0,1900000.0,3900000.0,8600000.0,3000000.0,"1"
1.0,"0","1",1700000.0,5000000.0,10.0,888.0,2900000.0,900000.0,4100000.0,2200000.0,"1"
3.0,"1","1",9000000.0,3.04E7,6.0,638.0,1.68E7,1.1E7,2.69E7,9200000.0,"1"
5.0,"0","1",7300000.0,2.33E7,6.0,622.0,7100000.0,1.16E7,2.64E7,1.05E7,"1"
1.0,"0","0",7400000.0,1.98E7,18.0,458.0,1.26E7,6200000.0,2.77E7,4000000.0,"0"
1.0,"0","0",9000000.0,2.82E7,16.0,327.0,1700000.0,2300000.0,2.4E7,1.12E7,"0"
0.0,"0","0",3000000.0,6500000.0,2.0,612.0,8800000.0,3400000.0,6700000.0,1700000.0,"1"
1.0,"1","0",800000.0,2900000.0,8.0,682.0,2200000.0,1100000.0,2900000.0,700000.0,"1"
2.0,"1","0",4800000.0,1.32E7,2.0,583.0,1.37E7,5800000.0,9500000.0,5200000.0,"1"
5.0,"0","0",6400000.0,1.83E7,8.0,697.0,1.0E7,3600000.0,2.25E7,3600000.0,"1"
3.0,"1","0",9200000.0,2.71E7,12.0,306.0,5800000.0,1.15E7,2.8E7,9600000.0,"0"
4.0,"0","1",400000.0,1500000.0,2.0,669.0,-100000.0,600000.0,900000.0,500000.0,"1"
2.0,"0","0",2800000.0,6000000.0,18.0,816.0,6300000.0,4200000.0,8000000.0,3400000.0,"1"
4.0,"0","1",8500000.0,2.89E7,20.0,455.0,1.52E7,5800000.0,2.25E7,9400000.0,"0"
3.0,"1","1",4700000.0,1.64E7,10.0,318.0,1.14E7,8100000.0,1.62E7,4300000.0,"0"
4.0,"0","1",9800000.0,2.12E7,20.0,355.0,2.2E7,8900000.0,3.18E7,1.44E7,"0"
2.0,"0","1",3800000.0,8900000.0,16.0,389.0,200000.0,5600000.0,1.22E7,2200000.0,"0"
2.0,"1","0",500000.0,1500000.0,2.0,888.0,1500000.0,300000.0,1500000.0,600000.0,"1"
2.0,"1","1",6900000.0,1.56E7,6.0,352.0,1.3E7,5300000.0,2.26E7,1.0E7,"0"
4.0,"0","1",9600000.0,3.01E7,12.0,870.0,300000.0,6700000.0,3.82E7,5600000.0,"1"
3.0,"0","0",2900000.0,6500000.0,18.0,827.0,8300000.0,600000.0,1.04E7,3200000.0,"1"
2.0,"1","0",9800000.0,2.09E7,12.0,768.0,3400000.0,1.02E7,3.86E7,1.34E7,"1"
0.0,"1","0",7100000.0,1.54E7,18.0,707.0,1.03E7,1.08E7,1.96E7,5800000.0,"1"
1.0,"0","1",7700000.0,1.91E7,10.0,355.0,1.13E7,4900000.0,2.19E7,6600000.0,"0"
3.0,"1","0",1400000.0,3300000.0,2.0,652.0,100000.0,2100000.0,3500000.0,1900000.0,"1"
3.0,"1","0",7800000.0,1.59E7,2.0,665.0,1.44E7,900000.0,2.72E7,5400000.0,"1"
5.0,"0","1",1700000.0,6000000.0,18.0,420.0,500000.0,1600000.0,3700000.0,2300000.0,"0"
2.0,"0","0",8500000.0,3.27E7,18.0,471.0,1.26E7,9400000.0,3.39E7,1.25E7,"0"
5.0,"0","0",1900000.0,7500000.0,20.0,715.0,5100000.0,2800000.0,6500000.0,2800000.0,"1"
2.0,"0","1",6700000.0,1.52E7,10.0,689.0,0.0,8200000.0,1.5E7,6800000.0,"1"
3.0,"1","1",6900000.0,1.64E7,4.0,787.0,1.11E7,6100000.0,2.64E7,3800000.0,"1"
2.0,"1","0",2600000.0,7800000.0,4.0,819.0,3100000.0,4300000.0,5700000.0,1500000.0,"1"
4.0,"1","1",9600000.0,2.11E7,6.0,809.0,1.61E7,9500000.0,3.47E7,8700000.0,"1"
1.0,"0","1",6800000.0,1.7E7,2.0,744.0,1.55E7,3900000.0,2.37E7,3500000.0,"1"
0.0,"0","0",3200000.0,1.13E7,6.0,484.0,3500000.0,5500000.0,8500000.0,2100000.0,"0"
4.0,"0","0",2900000.0,1.04E7,6.0,673.0,5100000.0,1700000.0,1.06E7,1700000.0,"1"
3.0,"1","1",7900000.0,2.12E7,18.0,695.0,1.38E7,1.06E7,2.18E7,4900000.0,"1"
4.0,"0","1",3900000.0,1.24E7,12.0,473.0,6400000.0,4700000.0,1.31E7,3800000.0,"0"
4.0,"1","1",4600000.0,1.1E7,2.0,491.0,9000000.0,4000000.0,1.61E7,3500000.0,"0"
3.0,"0","1",700000.0,1700000.0,8.0,733.0,1200000.0,800000.0,2400000.0,500000.0,"1"
0.0,"0","0",5200000.0,1.56E7,20.0,434.0,1.41E7,5800000.0,1.81E7,5500000.0,"0"
3.0,"0","1",5900000.0,2.06E7,10.0,777.0,1900000.0,4600000.0,2.12E7,6400000.0,"1"
4.0,"1","0",7200000.0,1.91E7,4.0,774.0,9400000.0,7000000.0,1.79E7,3600000.0,"1"
1.0,"0","1",8700000.0,2.7E7,10.0,717.0,2.55E7,8600000.0,1.75E7,9100000.0,"1"
3.0,"0","1",1100000.0,3500000.0,12.0,503.0,3000000.0,400000.0,2200000.0,1200000.0,"0"
1.0,"1","1",4000000.0,1.09E7,14.0,598.0,3600000.0,6600000.0,1.36E7,4400000.0,"1"
2.0,"1","0",9800000.0,3.24E7,2.0,543.0,2.42E7,1.75E7,2.57E7,7700000.0,"1"
0.0,"0","1",2700000.0,6800000.0,20.0,796.0,700000.0,4200000.0,7000000.0,1900000.0,"1"
3.0,"0","1",8800000.0,3.46E7,8.0,386.0,1.48E7,1.65E7,1.84E7,6000000.0,"0"
5.0,"0","1",3300000.0,7800000.0,16.0,632.0,8500000.0,500000.0,7100000.0,4900000.0,"1"
1.0,"1","1",6900000.0,2.34E7,4.0,481.0,1.87E7,1100000.0,2.34E7,1.02E7,"1"
3.0,"1","1",900000.0,3500000.0,4.0,770.0,700000.0,0.0,2000000.0,600000.0,"0"
3.0,"1","1",4100000.0,1.55E7,6.0,667.0,2800000.0,1600000.0,1.47E7,4000000.0,"1"
3.0,"0","1",4700000.0,1.75E7,8.0,585.0,1200000.0,3100000.0,9600000.0,4900000.0,"1"
5.0,"1","1",3400000.0,1.16E7,16.0,479.0,9200000.0,5700000.0,1.12E7,2400000.0,"0"
2.0,"1","0",9600000.0,2.25E7,18.0,851.0,7400000.0,1.62E7,2.43E7,1.27E7,"1"
3.0,"0","1",7000000.0,1.62E7,6.0,378.0,2.0E7,1.26E7,2.03E7,5500000.0,"0"
5.0,"1","0",5700000.0,1.29E7,18.0,807.0,4100000.0,900000.0,1.86E7,5500000.0,"1"
1.0,"0","1",8200000.0,3.24E7,18.0,831.0,2.28E7,1.23E7,1.77E7,7800000.0,"1"
2.0,"0","0",2100000.0,5100000.0,12.0,674.0,2200000.0,3200000.0,6400000.0,2400000.0,"1"
